human_readable_date,value
2019-04-18 00:03:07-04:00,1026
2019-04-18 00:02:15-04:00,1026
2019-04-18 00:01:22-04:00,1026
2019-04-18 00:00:30-04:00,1026
2019-04-17 23:59:38-04:00,1026
2019-04-17 23:58:46-04:00,1026
2019-04-17 23:57:53-04:00,1026
2019-04-17 23:57:01-04:00,1026
2019-04-17 23:56:09-04:00,1026
2019-04-17 23:55:17-04:00,1026
2019-04-17 23:54:24-04:00,1026
2019-04-17 23:53:32-04:00,1026
2019-04-17 23:52:40-04:00,1026
2019-04-17 23:51:48-04:00,1026
2019-04-17 23:50:56-04:00,1026
2019-04-17 23:50:03-04:00,1026
2019-04-17 23:49:11-04:00,1026
2019-04-17 23:48:19-04:00,1026
2019-04-17 23:47:27-04:00,1026
2019-04-17 23:46:35-04:00,1026
2019-04-17 23:45:43-04:00,1026
2019-04-17 23:44:50-04:00,1026
2019-04-17 23:43:58-04:00,1026
2019-04-17 23:43:06-04:00,1026
2019-04-17 23:42:14-04:00,1026
2019-04-17 23:41:22-04:00,1026
2019-04-17 23:40:29-04:00,1026
2019-04-17 23:39:37-04:00,1026
2019-04-17 23:38:45-04:00,1026
2019-04-17 23:37:53-04:00,1026
2019-04-17 23:37:00-04:00,1026
2019-04-17 23:36:08-04:00,1026
2019-04-17 23:35:16-04:00,1026
2019-04-17 23:34:23-04:00,1026
2019-04-17 23:33:30-04:00,1026
2019-04-17 23:32:38-04:00,1026
2019-04-17 23:31:46-04:00,1026
2019-04-17 23:30:53-04:00,1026
2019-04-17 23:30:01-04:00,1026
2019-04-17 23:29:09-04:00,1026
2019-04-17 23:28:17-04:00,1026
2019-04-17 23:27:25-04:00,1026
2019-04-17 23:26:33-04:00,1026
2019-04-17 23:25:41-04:00,1026
2019-04-17 23:24:49-04:00,1026
2019-04-17 23:23:57-04:00,1026
2019-04-17 23:23:05-04:00,1026
2019-04-17 23:22:13-04:00,1026
2019-04-17 23:21:19-04:00,1026
2019-04-17 23:20:28-04:00,1026
2019-04-17 23:19:35-04:00,1026
2019-04-17 23:18:43-04:00,1026
2019-04-17 23:17:46-04:00,1026
2019-04-17 23:16:54-04:00,1026
2019-04-17 23:16:02-04:00,1026
2019-04-17 23:15:10-04:00,1026
2019-04-17 23:14:16-04:00,1026
2019-04-17 23:13:23-04:00,1026
2019-04-17 23:12:31-04:00,1026
2019-04-17 23:11:39-04:00,1026
2019-04-17 23:10:47-04:00,1026
2019-04-17 23:09:55-04:00,1026
2019-04-17 23:09:03-04:00,1026
2019-04-17 23:08:11-04:00,1026
2019-04-17 23:07:19-04:00,1026
2019-04-17 23:06:27-04:00,1026
2019-04-17 23:05:35-04:00,1026
2019-04-17 23:04:43-04:00,1026
2019-04-17 23:03:51-04:00,1026
2019-04-17 23:02:59-04:00,1026
2019-04-17 23:02:07-04:00,1026
2019-04-17 23:01:15-04:00,1026
2019-04-17 23:00:23-04:00,1026
2019-04-17 22:59:31-04:00,1026
2019-04-17 22:58:39-04:00,1026
2019-04-17 22:57:47-04:00,1026
2019-04-17 22:56:55-04:00,1026
2019-04-17 22:56:02-04:00,1026
2019-04-17 22:55:11-04:00,1026
2019-04-17 22:54:18-04:00,1026
2019-04-17 22:53:27-04:00,1026
2019-04-17 22:52:35-04:00,1026
2019-04-17 22:50:16-04:00,1026
2019-04-17 22:47:58-04:00,1026
2019-04-17 22:45:40-04:00,1025
2019-04-17 22:44:04-04:00,1025
2019-04-17 22:42:28-04:00,1025
2019-04-17 22:41:36-04:00,1025
2019-04-17 22:40:44-04:00,1025
2019-04-17 22:39:51-04:00,1025
2019-04-17 22:38:57-04:00,1026
2019-04-17 22:38:05-04:00,1026
2019-04-17 22:37:13-04:00,1026
2019-04-17 22:36:21-04:00,1026
2019-04-17 22:35:29-04:00,1026
2019-04-17 22:34:37-04:00,1026
2019-04-17 22:33:45-04:00,1026
2019-04-17 22:32:53-04:00,1026
2019-04-17 22:32:01-04:00,1026
2019-04-17 22:31:09-04:00,1026
2019-04-17 22:30:15-04:00,1026
2019-04-17 22:29:22-04:00,1026
2019-04-17 22:28:30-04:00,1026
2019-04-17 22:27:38-04:00,1026
2019-04-17 22:26:46-04:00,1025
2019-04-17 22:25:54-04:00,1025
2019-04-17 22:25:02-04:00,1025
2019-04-17 22:24:10-04:00,1025
2019-04-17 22:23:18-04:00,1026
2019-04-17 22:22:26-04:00,1026
2019-04-17 22:21:34-04:00,1026
2019-04-17 22:20:42-04:00,1026
2019-04-17 22:19:50-04:00,1026
2019-04-17 22:18:57-04:00,1026
2019-04-17 22:18:05-04:00,1026
2019-04-17 22:17:13-04:00,1026
2019-04-17 22:16:20-04:00,1026
2019-04-17 22:15:28-04:00,1026
2019-04-17 22:14:36-04:00,1026
2019-04-17 22:13:44-04:00,1026
2019-04-17 22:12:52-04:00,1026
2019-04-17 22:12:01-04:00,1026
2019-04-17 22:11:08-04:00,1026
2019-04-17 22:10:16-04:00,1026
2019-04-17 22:09:25-04:00,1025
2019-04-17 22:08:33-04:00,1025
2019-04-17 22:07:41-04:00,1025
2019-04-17 22:06:49-04:00,1025
2019-04-17 22:05:57-04:00,1026
2019-04-17 22:05:05-04:00,1025
2019-04-17 22:04:13-04:00,1025
2019-04-17 22:02:38-04:00,1025
2019-04-17 22:00:20-04:00,1025
2019-04-17 21:58:01-04:00,1025
2019-04-17 21:56:50-04:00,1025
2019-04-17 21:55:10-04:00,1025
2019-04-17 21:53:36-04:00,1025
2019-04-17 21:52:03-04:00,1025
2019-04-17 21:50:29-04:00,1025
2019-04-17 21:49:37-04:00,1025
2019-04-17 21:48:45-04:00,1025
